TXT_KEY_TRADE_EMBASSY_STRING	建立大使馆
TXT_KEY_TRADE_FREE_TRADE_ZONE	自由贸易协定：[NEWLINE][ICON_BULLET]增加贸易收入[NEWLINE][ICON_BULLET]增加贸易任务获得的金币[NEWLINE][ICON_BULLET]降低在成员国境内进行间谍活动的花费[NEWLINE][ICON_BULLET]加快企业在成员国之间的传播[NEWLINE][ICON_BULLET]可能激怒竞争对手
TXT_KEY_TRADE_LIMITED_BORDERS	通行权协定仅允许非攻击性单位（包括贸易）穿越你的文明领土。适用于希望继续贸易、同时阻止敌军调动的情形。
TXT_KEY_TRADE_LIMITED_BORDERS_STRING	通行权
TXT_KEY_TRADE_MAKE_CONTACT_WITH	接触
TXT_KEY_TRADE_MAKE_PREPARE_WAR	将促使 %s1_CivName 准备对 %s2_CivName 开战。
TXT_KEY_TRADE_MILITARY_UNIT	军事单位
TXT_KEY_TRADE_NON_AGGRESSION	双方领袖承诺互不攻击。
TXT_KEY_TRADE_NON_AGGRESSION_STRING	互不侵犯条约
TXT_KEY_TRADE_POW	用你俘获的士兵交换对方俘获的士兵。
TXT_KEY_TRADE_POW_STRING	战俘交换
TXT_KEY_TRADE_PREPARE_WAR_ON	准备开战对象
TXT_KEY_TRADE_PREPARE_WAR_WITH	准备开战对象
TXT_KEY_TRADE_SECRETARY_GENERAL	%s1_CivName 承诺投票支持 %s2_CivName 出任 %s3_VoteSource 的秘书长
TXT_KEY_TRADE_SECRETARY_GENERAL_VOTE	秘书长
TXT_KEY_TRADE_SEC_GEN_VOTE	投票支持 %s1（%s2）
TXT_KEY_TRADE_WORKER	工人
TXT_KEY_TRADE_WORKERS	工人
USER_DIPLO_MAKE_PEACE_WITH_1	好！我们讲和吧。
USER_DIPLO_MAKE_PEACE_WITH_2	那就和平吧……
USER_DIPLO_NO_MAKE_PEACE_WITH_1	不！必须给他们一个教训！
USER_DIPLO_NO_MAKE_PEACE_WITH_2	有些战争值得一战……
USER_DIPLO_NO_MAKE_PEACE_WITH_3	不到他们的鲜血染红首都街道，绝不罢休！
USER_DIPLO_NO_MAKE_PEACE_WITH_4	永不言弃！永不投降！
TXT_KEY_DENIAL_SENATE_VETO	&quot;我们的元老院反对此举。&quot;
TXT_KEY_CONCEPT_ACTIVE_SENATE	活跃元老院
TXT_KEY_CONCEPT_ACTIVE_SENATE_PEDIA	[H1]活跃元老院[\\H1][PARAGRAPH:2]在某些政体下（[LINK=CIVIC_REPRESENTATION]代议制[\\LINK]、[LINK=CIVIC_UNIVERSAL_SUFFRAGE]普选制[\\LINK]），元老院会干预你的军事政策。因此，它可能否决你的宣战，或迫使你与敌人签订和约。[PARAGRAPH:2]元老院的决定尤其取决于冲突的规模（无论是潜在的还是实际的）及其切身利益。因此，在民主政体下推行军事政策会变得更加困难。[PARAGRAPH:2]然而，当对手对你的国家做出不友善的举动，例如禁运、投反对票、间谍任务等等，你便有充分的借口不经元老院干预即可开战。任何开战借口在一个回合内有效，且在宣战情形下贯穿整场冲突。当然，已经对你开战之敌的恶意举动，本身就是绕开元老院的借口。[NEWLINE][NEWLINE]
TXT_KEY_CIVIC_ACTIVE_SENATE	[ICON_BULLET][COLOR_HIGHLIGHT_TEXT]活跃元老院[COLOR_REVERT]可否决军事行动
TXT_KEY_SENATE_CANCEL_WAR	[COLOR_HIGHLIGHT_TEXT]元老院[COLOR_REVERT]否决了你对 %s1_TeamCiv 的宣战
TXT_KEY_MISC_HELP_CURRENT_PRETEXT	有效开战借口
TXT_KEY_GAME_OPTION_ACTIVE_SENATE	活跃元老院
TXT_KEY_POPUP_DOES_THIS_MEAN_WAR_PACIFIC	你的政府提醒你，你已签署了 %s1_VoteSourcename 的&quot;侵略战争投票排除处罚&quot;。
TXT_KEY_VOTE_CONDEMN_UN_SLAVERY	谴责奴隶制政策
TXT_KEY_MISC_CONDEMN_CIVIC	联合国谴责了 %s1_Civic！选择该政策的文明将失去他人的尊重。
TXT_KEY_MISC_CONDEMN_CIVIC_END	联合国不再谴责 %s1_Civic！
TXT_KEY_MISC_ATTITUDE_CONDEMNED_CIVIC	%D1：&quot;你正在使用受谴责的政策！&quot;
TXT_KEY_CONCEPT_CONDAMN_CIVIC_PEDIA	[H1]受谴责政策[\\H1][PARAGRAPH:2]联合国可以就谴责某项政策的决议进行投票。当且仅当该政策被某个参与投票的玩家采用时方可谴责。可被联合国谴责的，是一些最为极端的政策。[PARAGRAPH:2]选择受谴责政策会招致投票成员的外交惩罚，并将该文明排除在可投票的成员集团之外——这本身未必是坏事（你需要权衡此种处境的风险与收益）。[PARAGRAPH:2]AI 玩家有可能提出并通过这样的决议，此时它会影响游戏进程。但从人类玩家的角度看，其意义更为微妙。它可以使某些文明反目成仇。事实上，如果你想攻击一个与你及盟友共享国教、却选择了不同宗教教义的对手，你可以设法谴责它，使其沦为弃儿，从而在不冒犯信仰弟兄的情况下发动攻击，甚至得到他们的协助。[PARAGRAPH:2]从历史角度看，其意义主要在于能够谴责诸如改革之类的政策。[NEWLINE][NEWLINE]
TXT_KEY_CONCEPT_CONDAMN_CIVIC	受谴责政策
TXT_KEY_POPUP_ELECTION_NUM_VOTERS_WITH_COND_CIVIC0	%d1 个参与投票的玩家 [NUM1:player:players] 选择了该政策。
TXT_KEY_POPUP_ELECTION_NUM_VOTERS_WITH_COND_CIVIC	 --- %d1 个参与投票的玩家 [NUM1:player:players] 选择了该政策。
TXT_KEY_MISC_CIVIC_IS_COND_BY_ONU	[COLOR_NEGATIVE_TEXT]该政策受联合国谴责[COLOR_REVERT]
TXT_KEY_GAME_OPTION_NO_UN_OBSOLETE_BONUS	上位议会中无禁止决议
TXT_KEY_GAME_OPTION_NO_UN_OBSOLETE_BONUS_HELP	联合国将无法提出使某种资源消失／重现的决议。
TXT_KEY_VOTE_UN_OBSOLETE_COAL	禁止煤炭
TXT_KEY_VOTE_UN_OBSOLETE_COAL_HELP	上位议会决议：[BOLD]禁止煤炭[\\BOLD]
TXT_KEY_VOTE_UN_OBSOLETE_COAL_STRATEGY	[BOLD]禁止煤炭[\\BOLD][NEWLINE]使煤炭资源消失
TXT_KEY_VOTE_UN_OBSOLETE_FUR	禁止毛皮
TXT_KEY_VOTE_UN_OBSOLETE_FUR_HELP	上位议会决议：[BOLD]禁止毛皮[\\BOLD]
TXT_KEY_VOTE_UN_OBSOLETE_FUR_STRATEGY	[BOLD]禁止毛皮[\\BOLD][NEWLINE]使毛皮资源消失
TXT_KEY_VOTE_UN_OBSOLETE_IVORY	禁止象牙
TXT_KEY_VOTE_UN_OBSOLETE_IVORY_HELP	上位议会决议：[BOLD]禁止象牙[\\BOLD]
TXT_KEY_VOTE_UN_OBSOLETE_IVORY_STRATEGY	[BOLD]禁止象牙[\\BOLD][NEWLINE]使象牙资源消失
TXT_KEY_VOTE_UN_OBSOLETE_WHALE	禁止捕鲸
TXT_KEY_VOTE_UN_OBSOLETE_WHALE_HELP	上位议会决议：[BOLD]禁止捕鲸[\\BOLD]
TXT_KEY_VOTE_UN_OBSOLETE_WHALE_STRATEGY	[BOLD]禁止捕鲸[\\BOLD][NEWLINE]使鲸鱼资源消失
TXT_KEY_MEMORY_BONUS_BAD_VOTE	[BOLD]禁止捕鲸[\\BOLD][NEWLINE]使鲸鱼资源消失
TXT_KEY_MISC_BONUS_BECOME_OBSOLETE	%s2_CityName 附近一处 [COLOR_HIGHLIGHT_TEXT]%s1_BonusName[COLOR_REVERT] 的来源被废弃了。
TXT_KEY_MISC_BONUS_BECOME_OBSOLETE2	%s2_CityName 附近一处 [COLOR_HIGHLIGHT_TEXT]%s1_BonusName[COLOR_REVERT] 的来源被重新启用了。
TXT_KEY_BONUS_IS_OBSO	[COLOR_WARNING_TEXT]联合国禁止开采[COLOR_REVERT]
TXT_KEY_CLOSEST_ALLY_OF	[ICON_BULLET][COLOR_POSITIVE_TEXT]%s1_player 最亲密的盟友[COLOR_REVERT]
TXT_KEY_MISC_ATTITUDE_SHARED_ENEMY	%D1：&quot;我们有共同的对手。&quot;
TXT_KEY_MISC_ATTITUDE_SHARED_FRIEND	%D1：&quot;我们有共同的朋友。&quot;
TXT_KEY_TRADE_WAR_REPARATIONS_STRING	支付战争赔款
TXT_KEY_TRADE_WAR_REPARATIONS	支付战争赔款可补偿战争造成的损失。战争赔款是修复昔日敌国关系的一种昂贵手段。
TXT_KEY_MISC_WAR_REPARATIONS	战争赔款
TXT_KEY_TRADE_CEASE_RELATIONS	将促使 %s1_You 与 %s2_Them 中断一切外交关系，为期 %d3 回合。
TXT_KEY_TRADE_CEASE_RELATIONS_WITH	中断外交关系对象
TXT_KEY_TRADE_CEASE_RELATIONS_GLOBAL_MSG	[COLOR_YELLOW]应 %s1 的请求，%s2 已与 %s3 中断一切外交关系。[COLOR_REVERT]
TXT_KEY_BUG_OPT_CIV4LERTS__ENABLED_TEXT	启用 Civ4lerts
