file	key	english	chinese
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_NYXKIN_PEDIA	Esus gifted the Svartalfar, the winter court side of the elven civil war, with a breed of large panthers that were strong mounts as well as powerful attackers in their own right. A Nyxkin is a Svartalfar warrior who is bound to one of these panthers. The bond is so great that if either side dies, the other will as well. -- The Bestiary of Erebus	埃苏斯赐予斯瓦塔尔法——精灵内战中冬之宫廷一方——一种巨型黑豹,它们既是强健的坐骑,自身也是凶悍的攻击者。豹骑兵(Nyxkin)是与其中一头黑豹缔结契约的斯瓦塔尔法战士。这种羁绊如此深重,以致一方死去,另一方也随之丧命。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_MINOTAUR_PEDIA	A Minotaur is a tall humanoid with the head of a bull. They are vigilante guardians, and outside of being unable to resist a fight they mind they are reliable soldiers. -- The Bestiary of Erebus	牛头人是身形高大、长着公牛头颅的类人生物。他们是自发行侠的守卫者,除了无法拒绝一场找上门的争斗之外,都是可靠的士兵。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_MISTFORM_PEDIA	Esus traveled to the dark hell of Agares only to find it deserted and in ruin. Disliking such a barren world Esus breathed life into the dust and a people half-formed appeared, shadows of a lost people. These people he named the Mistforms and he brought them into Erebus. Mistforms can attack people, but if left alone typically avoid any contact with men and go through their own patterns and habits with little regard for the surrounding world. These habits seem to have little purpose and many suspect they are dreaming they are in a world that no longer exists. -- The Bestiary of Erebus	埃苏斯远赴阿加雷斯那阴暗的地狱,却只见其荒废倾颓、渺无人烟。埃苏斯厌恶如此贫瘠的世界,便向尘埃吹入生息,于是一群半成形的生灵浮现——那是某个失落民族的残影。他将这些生灵命名为雾魅(Mistform),并把他们带入埃瑞布斯。雾魅能攻击人,但若无人打扰,通常会回避与人接触,依着自己的规律与习性行事,几乎不理会周遭的世界。这些习性似乎毫无目的,许多人疑心他们正梦着一个早已不复存在的世界。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_STYGIAN_GUARD_PEDIA	The Stygian Guard are the silent servants of Hastur. They exhibit no attempts at communication and little evidence of thought outside of their ability to ruthlessly follow commands. When they aren't being commanded they seek out pools or other bodies of water and sink unmoving to the bottom unless disturbed. -- The Bestiary of Erebus	冥河守卫(Stygian Guard)是哈斯塔沉默的仆从。他们全无沟通的意图,除了冷酷执行命令的本领外,也几乎不见任何思想的迹象。无人差遣时,他们便寻向水潭或别的水体,一动不动地沉入水底,除非被惊扰。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_GRIFFON_PEDIA	A mix of eagles and lions, griffons make loyal mounts and pets to those who are able to tame them. They enjoy dangerous flying so less reckless riders will probably only ride a griffon once. -- The Bestiary of Erebus	狮鹫融合了鹰与狮,对能驯服它们的人而言,是忠诚的坐骑与伙伴。它们酷爱惊险的飞行,所以不那么鲁莽的骑手,大概一生只会骑一次狮鹫。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_SEA_SERPENT_PEDIA	Sea Serpents can grow to be large enough to swallow entire ships whole and they release thousands of eggs during their mating cycles. It is only their frequent clashes with each other and the lack of food in their environment that keeps their numbers under control. -- The Bestiary of Erebus	海蛇能长到大得足以将整艘船囫囵吞下,交配期一次便产下成千上万枚卵。全靠它们彼此间频繁的争斗,以及生境中食物的匮乏,其数量才得以受制。——《埃瑞布斯生物志》
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_1	Mishahel the Martyr	殉道者米沙赫尔
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_2	Elder Methyl	长老美西尔
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_3	Hananiah	哈拿尼雅
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_4	Azariah	亚撒利雅
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_5	Belteshazzar	伯提沙撒
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_6	Sophanias	索法尼亚斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_7	Nahum	那鸿
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_8	Osee	何西阿
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_9	Abdias	俄巴底亚
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_10	Abacuc	哈巴谷
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_11	Malachias	玛拉基
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_12	Baruch	巴录
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_LUONNOTAR_13	Shimon ben Sirach	便西拉之子西蒙
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_KNIGHT_1	Nikis	尼基斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_1	Fiacra	菲亚克拉
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_2	Boreas	波瑞阿斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_3	Mistral	密史脱拉
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_4	Khazri	哈兹里
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_5	Vardarac	瓦尔达拉克
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_6	Taku	塔库
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_AQUILAN_7	Foehn	焚风
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PRIEST_OF_WINTER_4	Samonios	萨莫尼奥斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PRIEST_OF_WINTER_5	Ogronios	奥格罗尼奥斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PRIEST_OF_WINTER_6	Cutios	库提奥斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PRIEST_OF_WINTER_7	Yule	尤尔
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PRIEST_OF_WINTER_8	Imbolc	伊姆博尔克
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_ABANDON	[ICON_BULLET]Will abandon players that do not have the right State Religion, Civic, or Leader type	[ICON_BULLET]将抛弃不具备相应国教、政策或领袖类型的玩家
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_PYRE_ZOMBIE_STRATEGY	Use Pyre Zombies as expendable front line troops. They are stronger than Men-At Arms, if you include their fire damage, and when defeated will explode, damaging all units (enemy and friendly) within a tile of the zombie. They require both Fire and Death mana to train, and are not available to players of the Good alignment. They are Undead units, and so are vulnerable to the Undead Slaying promotion and the Destroy Undead Spell. The Overcouncil's resolution against Death mana blocks its members from training these units. 	将火焚还魂者用作可消耗的前线部队。若把火焰伤害算在内,他们比持械步兵更强,被击败时会爆炸,伤及僵尸一格范围内的所有单位(敌我皆然)。训练他们需同时具备炎之能量与死亡能量,善良阵营的玩家无法使用。他们属于不死单位,因而易受「猎杀不死」晋升与「消灭不死」法术的克制。上议会针对死亡能量的决议会阻止其成员训练这类单位。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_MAGNADINE_STRATEGY	Magnadine's horsemanship is legendary, but he is more renowned for leading mercenaries to wealth and glory. Sellswords often rip up contracts to join his company. His charisma inspires loyalty that is worth far more than gold. 	麦格纳丹的马术堪称传奇,但他更以率领雇佣兵走向财富与荣耀而闻名。佣兵们常撕毁契约,只为加入他的队伍。他的魅力所激发的忠诚,远比黄金珍贵。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_DUIN_PEDIA	Baron Duin Halfmorn was a fearsome warlord during the Age of Magic. He hosted lavish banquets after his victories, where he and his generals feasted on the bodies of the vanquished. In time his generals' ambition grew to match his own. They turned on him in a bloody civil war. Duin won the war but lost his empire; he sat alone in the end, feasting on his generals' corpses. [PARAGRAPH:1]Ancient legends tell of Duin's cruelty, cannibalism, and worship of Camulos, but they do not relate his darkest secret. The God of Strife rewarded the Baron's devotion with the curse of Lycanthropy, yet let him control his bestial nature well enough to keep it hidden from the world. Duin was not the first werewolf, nor last, but was the greatest. [PARAGRAPH:1]The horrific Duin did die, as all mortals do, but would not be allowed to rest in peace. His soul fought for centuries in Hell, before returning to the world of the living. In a time of dire need, desperate mages performed rites to bring back the greatest, most feared general of history. [PARAGRAPH:1]Mortal magic may resurrect only the dead whose spirits linger in Erebus. Without divine intervention, it can never draw a soul back from beyond the plane. Camulos sent the Baron back on a mission to revive lycanthropy. Werewolves went extinct during the Age of Ice. Every infection in the current epidemic can be clearly traced back to Halfmorn himself. His true nature is now known, and rightly feared. 	哈夫蒙男爵杜因是魔法纪元中令人闻风丧胆的军阀。每逢大捷,他便大摆筵席,与麾下将领一同啖食败者的尸身。日久,将领们的野心渐渐与他并驾齐驱。他们在一场血腥内战中反叛了他。杜因赢了战争,却失了帝国;到头来他孤身独坐,啖食着将领们的尸体。[PARAGRAPH:1]古老的传说讲述杜因的残暴、食人与对卡穆洛斯的崇拜,却不曾道出他最阴暗的秘密。这位纷争之神以狼化之诅咒回报男爵的虔诚,又让他能足够地驾驭那兽性,将其隐匿于世人之外。杜因不是第一个狼人,也非最后一个,却是最强大的一个。[PARAGRAPH:1]恐怖的杜因终究如所有凡人一般死去,却不得安息。他的灵魂在地狱中厮杀了数个世纪,方才重返生者的世界。在一个危急存亡之际,走投无路的法师们施行仪式,唤回了史上最伟大、最令人畏惧的将领。[PARAGRAPH:1]凡间的魔法只能复活那些魂魄仍逗留于埃瑞布斯的死者。若无神明干预,它绝无法将灵魂从位面之外拉回。是卡穆洛斯派男爵回返,授以复兴狼化症的使命。狼人在冰之纪元中已然绝迹。如今这场瘟疫里的每一例感染,都能清晰追溯至哈夫蒙本人。他的真实本性现已为人所知,也理应为人所惧。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_DUIN_STRATEGY	Duin is now a melee unit instead of a beast, so he cannot so easily be captured by Beastmasters, but he is still a werewolf. Living units that he slays, or even those that slay him, risk becoming infected with Lycanthropy. He is the Alpha Werewolf, who can dominate other lycanthropes to make them join his pack. Ravenous Werewolves are usually born rebellious, but they would not dare rebel against the Baron Halfmorn. 	杜因如今是近战单位而非野兽,因此不再那么容易被兽王捕获,但他仍是狼人。被他杀死的活体单位——甚至杀死他的单位——都有被狼化症感染之虞。他是狼王(Alpha Werewolf),能支配其他狼化者、使其加入自己的族群。饥渴狼人生来多半桀骜不驯,却绝不敢反叛哈夫蒙男爵。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_DISCIPLE_HAND	Frost Speaker	霜语者
