TXT_KEY_CITY_BAR_CTRL_BASE_VALUES	[NEWLINE]按住 &lt;CTRL&gt; 查看基础数值。
TXT_KEY_CITY_BAR_FOOD_GROW	[NEWLINE]%d1 [ICON_FOOD]/回合[NEWLINE]增长：%d2/%d3 [ICON_FOOD]（%d4 [NUM4:Turn:Turns]）
TXT_KEY_CITY_BAR_FOOD_STAGNATE	[NEWLINE]停滞：%d1/%d2 [ICON_FOOD]
TXT_KEY_CITY_BAR_FOOD_SHRINK	[NEWLINE]%d1 [ICON_BAD_FOOD]/回合[NEWLINE][COLOR_YELLOW]缩减：%d2/%d3 [ICON_FOOD]（%d4 [NUM4:Turn:Turns]）[COLOR_REVERT]
TXT_KEY_CITY_BAR_FOOD_STARVE	[NEWLINE]%d1 [ICON_BAD_FOOD]/回合[NEWLINE][COLOR_WARNING_TEXT]饥荒：%d2/%d3 [ICON_FOOD][COLOR_REVERT]
TXT_KEY_CITY_BAR_HAMMER_PRODUCTION_WITH_BASE	[NEWLINE]%d1 [ICON_PRODUCTION]/回合（%d6 [ICON_PRODUCTION]/回合）[NEWLINE]%s2：%d3/%d4 [ICON_PRODUCTION]（%d5 [NUM5:Turn:Turns]）
TXT_KEY_CITY_BAR_FOOD_HAMMER_PRODUCTION_WITH_BASE	[NEWLINE]%d1 [ICON_FOOD] + %d2 [ICON_PRODUCTION]/回合（%d7 [ICON_PRODUCTION]/回合）[NEWLINE]%s3：%d4/%d5 [ICON_PRODUCTION]（%d6 [NUM6:Turn:Turns]）
TXT_KEY_CITY_BAR_BASE_PRODUCTION	[NEWLINE]%d1 [ICON_PRODUCTION]/回合
TXT_KEY_CITY_BAR_BASE_PRODUCTION_WITH_OVERFLOW	[NEWLINE]%d1 [ICON_PRODUCTION]（%d2 [ICON_PRODUCTION]/回合）
TXT_KEY_BUG_FINANCIAL_ADVISOR_DOMESTIC_TRADE	国内贸易路线带来的总商业
TXT_KEY_BUG_FINANCIAL_ADVISOR_FOREIGN_TRADE	对外贸易路线带来的总商业
TXT_KEY_BUG_FINANCIAL_ADVISOR_SPECIALISTS	专家带来的总金钱
TXT_KEY_BUG_FINANCIAL_ADVISOR_SPECIALIST_TOTAL_GOLD	[NEWLINE]------------------------[NEWLINE]专家总计：%d1[ICON_GOLD]
TXT_KEY_BUG_YEAR_BUILT	建于第 %d1 回合
TXT_KEY_BUG_DOUBLE_COMMERCE_NEXT_YEAR	[ICON_BULLET]下回合 %s1_commerce_type 翻倍
TXT_KEY_BUG_DOUBLE_COMMERCE_YEARS	[ICON_BULLET]%d2 回合后 %s1_commerce_type 翻倍
TXT_KEY_PRODUCTION_DECAY	[COLOR_NEGATIVE_TEXT]本回合将损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_PRODUCTION_DECAY_PRODUCING	[COLOR_WARNING_TEXT]本回合若不生产，将损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_PRODUCTION_DECAY_PRODUCING_PRODUCTION_DISABLED	[COLOR_WARNING_TEXT]生产恢复后若不立即生产，将损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_PRODUCTION_DECAY_TURNS	[COLOR_NEGATIVE_TEXT]将在 %d2 [NUM2:turn:turns]内损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_PRODUCTION_DECAY_TURNS_PRODUCING	[COLOR_WARNING_TEXT]若连续 %d2 [NUM2:turn:turns]不生产，将损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_PRODUCTION_DECAY_TURNS_PRODUCING_PRODUCTION_DISABLED	[COLOR_WARNING_TEXT]生产恢复后若连续 %d2 [NUM2:turn:turns]不生产，将损失 %d1[ICON_PRODUCTION][COLOR_REVERT]
TXT_KEY_AT_WAR_WITH	[ICON_BULLET][COLOR_YELLOW]与 %s1_player 交战[COLOR_REVERT]
TXT_KEY_AT_WAR_WITH_YOU	[ICON_BULLET][COLOR_YELLOW]你正处于交战状态！[COLOR_REVERT]
TXT_KEY_PEACE_TREATY_WITH	[ICON_BULLET][COLOR_CYAN]与 %s1_player 签有和平条约[COLOR_REVERT]
TXT_KEY_PEACE_TREATY_WITH_YOU	[ICON_BULLET][COLOR_CYAN]你签有一份和平条约[COLOR_REVERT]
TXT_KEY_WORST_ENEMY_OF	[ICON_BULLET][COLOR_YELLOW]%s1_player 的头号敌人[COLOR_REVERT]
